Age,Gender,Weight_kg,Height_m,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration_hours,Calories_Burned,Fat_Percentage,Water_Intake_liters,Workout_Frequency,Experience_Level,BMI,Workout_Type_HIIT,Workout_Type_Strength,Workout_Type_Yoga,Heart_Rate_Reserve,Calories_per_Hour,Hydration_Score
56,1,88.3,1.71,180,157,60,1.69,1313.0,12.6,3.5,4,3,30.2,False,False,True,120,772.3529411764706,14.0
46,0,74.9,1.53,179,151,66,1.3,883.0,33.9,2.1,4,2,32.0,True,False,False,113,674.0458015267176,8.4
32,0,68.1,1.66,167,122,54,1.11,677.0,33.4,2.3,4,2,24.71,False,False,False,113,604.4642857142857,9.2
25,1,53.2,1.7,190,164,56,0.59,532.0,28.8,2.1,3,1,18.41,False,True,False,134,886.6666666666667,6.300000000000001
38,1,46.1,1.79,188,158,68,0.64,556.0,29.2,2.8,3,1,14.39,False,True,False,120,855.3846153846154,8.399999999999999
56,0,58.0,1.68,168,156,74,1.59,1116.0,15.5,2.7,5,3,20.55,True,False,False,94,697.5,13.5
36,1,70.3,1.72,174,169,73,1.49,1385.0,21.3,2.3,3,2,23.76,False,False,False,101,923.3333333333334,6.8999999999999995
40,0,69.7,1.51,189,141,64,1.27,895.0,30.6,1.9,3,2,30.57,False,False,False,125,699.21875,5.699999999999999
28,1,121.7,1.94,185,127,52,1.03,719.0,28.9,2.6,4,2,32.34,False,True,False,133,691.3461538461538,10.4
28,1,101.8,1.84,169,136,64,1.08,808.0,29.7,2.7,3,1,30.07,False,False,False,105,741.2844036697247,8.100000000000001
41,1,120.8,1.67,188,146,54,0.82,593.0,20.5,3.0,2,1,43.31,True,False,False,134,714.4578313253012,6.0
53,1,51.7,1.7,175,152,72,1.15,865.0,23.6,3.5,3,2,17.89,True,False,False,103,745.6896551724138,10.5
57,1,112.5,1.61,195,165,61,1.24,1013.0,22.1,2.7,3,2,43.4,False,False,False,134,810.4,8.100000000000001
