Weight_kg,Calories_Intake,Protein_Intake_g,Workout_Duration_min,Steps_Walked,day_number,week,Calories_per_Workout,Protein_per_kg,Activity_Score,Progress_Category
71.5,3209,70,41,6820,0,0,76.4047619047619,0.9790209790209791,47.82,maintenance
69.6,2584,150,40,4898,1,0,63.02439024390244,2.1551724137931036,44.897999999999996,weight_loss
71.9,2927,148,89,9546,2,0,32.522222222222226,2.0584144645340747,98.54599999999999,muscle_gain
74.6,3216,85,20,2077,3,0,153.14285714285714,1.1394101876675604,22.076999999999998,muscle_gain
69.3,2045,145,24,9577,4,0,81.8,2.0923520923520926,33.577,weight_loss
69.3,2999,86,31,12813,5,0,93.71875,1.240981240981241,43.813,maintenance
74.7,2862,61,109,6227,6,0,26.01818181818182,0.8165997322623828,115.227,muscle_gain
72.3,3300,162,65,2600,7,1,50.0,2.240663900414938,67.6,weight_loss
68.6,2558,62,53,3065,8,1,47.370370370370374,0.9037900874635569,56.065,weight_loss
71.6,2337,72,68,4136,9,1,33.869565217391305,1.005586592178771,72.136,muscle_gain
68.6,2720,148,97,12641,10,1,27.755102040816325,2.1574344023323615,109.641,weight_loss
68.6,2207,154,109,12535,11,1,20.063636363636363,2.2448979591836737,121.535,maintenance
70.7,2324,79,64,12055,12,1,35.753846153846155,1.1173974540311173,76.055,muscle_gain
64.3,2627,66,46,11510,13,1,55.8936170212766,1.026438569206843,57.51,weight_loss
64.8,3329,162,92,14903,14,2,35.795698924731184,2.5,106.903,maintenance
68.3,2702,111,45,13789,15,2,58.73913043478261,1.6251830161054173,58.789,muscle_gain
67.0,1835,133,66,8943,16,2,27.388059701492537,1.9850746268656716,74.943,weight_loss
70.9,2484,161,105,13954,17,2,23.433962264150942,2.2708039492242595,118.95400000000001,muscle_gain
67.3,1819,135,75,9804,18,2,23.93421052631579,2.0059435364041605,84.804,weight_loss
65.8,2120,68,113,8565,19,2,18.596491228070175,1.033434650455927,121.565,weight_loss
74.4,2311,149,82,7984,20,2,27.843373493975903,2.0026881720430105,89.984,muscle_gain
69.3,2199,125,67,7142,21,3,32.338235294117645,1.8037518037518039,74.142,weight_loss
70.2,2453,58,80,6670,22,3,30.28395061728395,0.8262108262108262,86.67,muscle_gain
65.7,2771,77,100,4190,23,3,27.435643564356436,1.1719939117199392,104.19,weight_loss
68.4,2270,177,45,11184,24,3,49.34782608695652,2.587719298245614,56.184,muscle_gain
70.3,2966,101,55,4712,25,3,52.964285714285715,1.4366998577524894,59.712,muscle_gain
66.5,2915,132,20,4192,26,3,138.8095238095238,1.9849624060150375,24.192,weight_loss
71.1,3177,160,27,3248,27,3,113.46428571428571,2.2503516174402254,30.248,muscle_gain
68.2,2633,166,118,13246,28,4,22.126050420168067,2.434017595307918,131.246,weight_loss
69.1,2526,118,71,14790,29,4,35.083333333333336,1.7076700434153402,85.78999999999999,muscle_gain
68.2,2653,148,98,6033,30,4,26.7979797979798,2.1700879765395893,104.033,weight_loss
75.6,1850,74,66,3997,31,4,27.611940298507463,0.978835978835979,69.997,muscle_gain
70.0,3488,172,75,5687,32,4,45.89473684210526,2.4571428571428573,80.687,weight_loss
66.8,2374,102,105,12343,33,4,22.39622641509434,1.5269461077844313,117.343,weight_loss
72.5,3013,106,33,6018,34,4,88.61764705882354,1.4620689655172414,39.018,muscle_gain
66.3,2948,88,109,13302,35,5,26.8,1.3273001508295625,122.30199999999999,weight_loss
70.6,1949,158,47,3970,36,5,40.604166666666664,2.237960339943343,50.97,muscle_gain
64.1,2113,91,106,10389,37,5,19.747663551401867,1.419656786271451,116.389,weight_loss
66.0,2369,171,97,7765,38,5,24.1734693877551,2.590909090909091,104.765,muscle_gain
70.6,3165,124,107,12818,39,5,29.305555555555557,1.756373937677054,119.818,muscle_gain
72.2,2104,125,21,3202,40,5,95.63636363636364,1.7313019390581716,24.201999999999998,muscle_gain
70.5,2481,58,45,10135,41,5,53.93478260869565,0.8226950354609929,55.135,weight_loss
69.7,2637,123,33,7567,42,6,77.55882352941177,1.7647058823529411,40.567,maintenance
69.1,2877,56,78,9667,43,6,36.41772151898734,0.8104196816208394,87.667,maintenance
65.6,2802,76,75,7742,44,6,36.86842105263158,1.1585365853658538,82.742,weight_loss
67.8,2243,171,26,7788,45,6,83.07407407407408,2.52212389380531,33.788,muscle_gain
68.6,2412,54,22,7408,46,6,104.8695652173913,0.7871720116618076,29.408,maintenance
73.2,2792,78,42,12227,47,6,64.93023255813954,1.0655737704918031,54.227000000000004,muscle_gain
71.0,2063,132,37,10669,48,6,54.28947368421053,1.8591549295774648,47.669,weight_loss
64.7,2876,158,57,11446,49,7,49.58620689655172,2.442040185471406,68.446,weight_loss
71.0,3395,114,118,2922,50,7,28.529411764705884,1.6056338028169015,120.922,muscle_gain
68.8,2803,135,34,2419,51,7,80.08571428571429,1.9622093023255816,36.419,weight_loss
68.0,3443,120,83,4204,52,7,40.98809523809524,1.7647058823529411,87.204,maintenance
